victim,input_level,condition,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu
"face",15,"solo",14,2076.491841,2076.373829,0.118012
"face",15,"stress",14,7369.442647,2118.905275,5250.537372
"face",15,"solo",15,2094.353945,2094.293278,0.060667
"face",15,"stress",15,6631.61183,2124.827325,4506.784505
"face",15,"solo",16,2099.253863,2099.217635,0.036228
"face",15,"stress",16,6172.410323,2133.823822,4038.586501
"face",15,"solo",17,2058.318983,2058.262849,0.056134
"face",15,"stress",17,7526.188758,2196.93983,5329.248928
"face",15,"solo",18,2046.781348,2046.697651,0.083697
"face",15,"stress",18,5777.542863,2136.984529,3640.558334
"face",15,"solo",19,2081.739651,2081.698002,0.041649
"face",15,"stress",19,5180.573416,2101.556545,3079.016871
"face",15,"solo",20,2060.888499,2060.843023,0.045476
"face",15,"stress",20,5711.590293,2132.653064,3578.937229
"face",30,"solo",1,3724.634607,3724.221311,0.413296
"face",30,"stress",1,12579.436303,3799.875731,8779.560572
"face",30,"solo",2,3767.470669,3767.367676,0.102993
"face",30,"stress",2,9043.363553,3825.488019,5217.875534
"face",30,"solo",3,3726.424977,3726.15043,0.274547
"face",30,"stress",3,7230.574026,3764.801287,3465.772739
"face",30,"solo",4,3719.881425,3719.826603,0.054822
"face",30,"stress",4,7383.423761,3754.448145,3628.975616
"face",30,"solo",5,3723.279887,3722.984834,0.289332
"face",30,"stress",5,11546.386715,3866.244836,7680.141879
"face",30,"solo",6,3722.641828,3722.587174,0.054654
"face",30,"stress",6,9768.435398,3868.481796,5899.953602
"face",30,"solo",7,3771.308181,3771.248981,0.0592
"face",30,"stress",7,11785.506524,3871.151271,7914.355253
"face",30,"solo",8,3774.608166,3774.560318,0.047848
"face",30,"stress",8,12810.405655,3861.62178,8948.783875
"face",30,"solo",9,3704.611153,3704.574844,0.036309
"face",30,"stress",9,9976.554756,3771.769462,6204.785294
"face",30,"solo",10,3798.000279,3797.953522,0.046757
"face",30,"stress",10,6464.414019,3726.159487,2738.254532
"face",30,"solo",11,3819.295035,3819.236756,0.058279
"face",30,"stress",11,8599.598794,3775.148905,4824.449889
"face",30,"solo",12,3745.17556,3745.140945,0.034615
"face",30,"stress",12,6282.378748,3764.234073,2518.144675
"face",30,"solo",13,3737.103303,3737.073679,0.029624
"face",30,"stress",13,12112.418077,3963.225239,8149.192838
"face",30,"solo",14,3765.881302,3765.835797,0.045505
"face",30,"stress",14,11966.57323,3920.317954,8046.255276
"face",30,"solo",15,3858.027801,3857.948324,0.079477
"face",30,"stress",15,10395.481249,3837.147346,6558.21147
"face",30,"solo",16,3696.285079,3696.028928,0.136477
"face",30,"stress",16,10910.438523,3864.930303,7045.477523
"face",30,"solo",17,3758.654697,3758.513085,0.043329
"face",30,"stress",17,12614.800944,3946.97825,8667.795101
"face",30,"solo",18,3809.176726,3809.072038,0.035028
"face",30,"stress",18,11283.557131,3952.562804,7330.957698
"face",30,"solo",19,3794.168557,3794.022103,0.061775
"face",30,"stress",19,8696.489631,3786.59638,4909.838759
"face",30,"solo",20,3683.242832,3683.09168,0.047579
"face",30,"stress",20,11514.628771,3887.542294,7627.009141
